工号,日期,项目,金额,部门,是否已结清,备注
100001,2026-01-08,快递费,2.37,行政部,否,成都交通费报销（第1笔）
100002,2026-02-15,差旅费,3.74,技术部,否,武汉差旅费报销（第2笔）
100003,2026-03-22,交通费,5.11,市场部,是,深圳交通费报销（第3笔）
100004,2026-04-01,办公用品,6.48,市场部,否,成都办公用品报销（第4笔）
100005,2026-05-08,办公用品,7.85,财务部,否,北京通讯费报销（第5笔）
100006,2026-06-15,培训费,9.22,销售部,是,上海差旅费报销（第6笔）
100007,2026-07-22,通讯费,10.59,销售部,否,北京维修费报销（第7笔）
100008,2026-08-01,培训费,11.96,财务部,否,成都维修费报销（第8笔）
100009,2026-09-08,维修费,13.33,市场部,是,杭州交通费报销（第9笔）
100010,2026-10-15,招待费,14.70,市场部,否,西安交通费报销（第10笔）
100011,2026-11-22,培训费,16.07,市场部,否,北京快递费报销（第11笔）
100012,2026-12-01,培训费,17.44,市场部,是,武汉招待费报销（第12笔）
100013,2026-01-08,差旅费,18.81,市场部,否,上海差旅费报销（第13笔）
100014,2026-02-15,培训费,20.18,技术部,否,武汉快递费报销（第14笔）
100015,2026-03-22,通讯费,21.55,市场部,是,上海招待费报销（第15笔）
100016,2026-04-01,维修费,22.92,技术部,否,西安交通费报销（第16笔）
100017,2026-05-08,通讯费,24.29,行政部,否,北京办公用品报销（第17笔）
100018,2026-06-15,办公用品,25.66,行政部,是,深圳办公用品报销（第18笔）
100019,2026-07-22,快递费,27.03,销售部,否,西安通讯费报销（第19笔）
100020,2026-08-01,维修费,28.40,销售部,否,深圳差旅费报销（第20笔）
100021,2026-09-08,培训费,29.77,行政部,是,杭州维修费报销（第21笔）
100022,2026-10-15,交通费,31.14,销售部,否,北京办公用品报销（第22笔）
100023,2026-11-22,培训费,32.51,行政部,否,武汉快递费报销（第23笔）
100024,2026-12-01,招待费,33.88,财务部,是,深圳差旅费报销（第24笔）
100025,2026-01-08,培训费,35.25,财务部,否,北京维修费报销（第25笔）
100026,2026-02-15,维修费,36.62,技术部,否,杭州交通费报销（第26笔）
100027,2026-03-22,通讯费,37.99,技术部,是,成都差旅费报销（第27笔）
100028,2026-04-01,维修费,39.36,市场部,否,杭州交通费报销（第28笔）
100029,2026-05-08,维修费,40.73,市场部,否,西安交通费报销（第29笔）
100030,2026-06-15,交通费,42.10,市场部,是,北京差旅费报销（第30笔）
100031,2026-07-22,交通费,43.47,销售部,否,成都交通费报销（第31笔）
100032,2026-08-01,办公用品,44.84,技术部,否,杭州培训费报销（第32笔）
100033,2026-09-08,快递费,46.21,市场部,是,成都交通费报销（第33笔）
100034,2026-10-15,差旅费,47.58,市场部,否,北京维修费报销（第34笔）
100035,2026-11-22,快递费,48.95,行政部,否,西安差旅费报销（第35笔）
100036,2026-12-01,差旅费,50.32,行政部,是,成都培训费报销（第36笔）
100037,2026-01-08,招待费,51.69,技术部,否,西安快递费报销（第37笔）
100038,2026-02-15,维修费,53.06,财务部,否,成都通讯费报销（第38笔）
100039,2026-03-22,维修费,54.43,技术部,是,西安维修费报销（第39笔）
100040,2026-04-01,通讯费,55.80,销售部,否,成都通讯费报销（第40笔）
100041,2026-05-08,交通费,57.17,行政部,否,成都招待费报销（第41笔）
100042,2026-06-15,通讯费,58.54,财务部,是,武汉招待费报销（第42笔）
100043,2026-07-22,维修费,59.91,市场部,否,上海办公用品报销（第43笔）
100044,2026-08-01,快递费,61.28,财务部,否,成都维修费报销（第44笔）
100045,2026-09-08,维修费,62.65,市场部,是,上海通讯费报销（第45笔）
100046,2026-10-15,维修费,64.02,技术部,否,成都快递费报销（第46笔）
100047,2026-11-22,培训费,65.39,行政部,否,成都快递费报销（第47笔）
100048,2026-12-01,培训费,66.76,行政部,是,上海快递费报销（第48笔）
100049,2026-01-08,办公用品,68.13,财务部,否,上海交通费报销（第49笔）
100050,2026-02-15,快递费,69.50,技术部,否,
100051,2026-03-22,快递费,70.87,行政部,是,北京通讯费报销（第51笔）
100052,2026-04-01,快递费,72.24,财务部,否,武汉快递费报销（第52笔）
100053,2026-05-08,交通费,73.61,销售部,否,武汉办公用品报销（第53笔）
100054,2026-06-15,维修费,74.98,行政部,是,武汉办公用品报销（第54笔）
100055,2026-07-22,办公用品,76.35,技术部,否,北京差旅费报销（第55笔）
100056,2026-08-01,通讯费,77.72,技术部,否,深圳交通费报销（第56笔）
100057,2026-09-08,招待费,79.09,行政部,是,杭州办公用品报销（第57笔）
100058,2026-10-15,快递费,80.46,市场部,否,深圳交通费报销（第58笔）
100059,2026-11-22,办公用品,81.83,技术部,否,杭州快递费报销（第59笔）
100060,2026-12-01,快递费,83.20,技术部,是,上海招待费报销（第60笔）
100061,2026-01-08,差旅费,84.57,市场部,否,杭州培训费报销（第61笔）
100062,2026-02-15,招待费,85.94,财务部,否,武汉交通费报销（第62笔）
100063,2026-03-22,培训费,87.31,市场部,是,成都培训费报销（第63笔）
100064,2026-04-01,快递费,88.68,行政部,否,成都办公用品报销（第64笔）
100065,2026-05-08,维修费,90.05,市场部,否,北京通讯费报销（第65笔）
100066,2026-06-15,交通费,91.42,财务部,是,深圳交通费报销（第66笔）
100067,2026-07-22,快递费,92.79,销售部,否,北京办公用品报销（第67笔）
100068,2026-08-01,招待费,94.16,销售部,否,深圳差旅费报销（第68笔）
100069,2026-09-08,招待费,95.53,市场部,是,深圳招待费报销（第69笔）
100070,2026-10-15,培训费,96.90,行政部,否,北京招待费报销（第70笔）
100071,2026-11-22,办公用品,98.27,财务部,否,成都招待费报销（第71笔）
100072,2026-12-01,通讯费,99.64,技术部,是,深圳交通费报销（第72笔）
100073,2026-01-08,差旅费,101.01,财务部,否,成都通讯费报销（第73笔）
100074,2026-02-15,通讯费,102.38,行政部,否,成都交通费报销（第74笔）
100075,2026-03-22,快递费,103.75,行政部,是,西安通讯费报销（第75笔）
100076,2026-04-01,培训费,105.12,财务部,否,上海交通费报销（第76笔）
100077,2026-05-08,通讯费,106.49,技术部,否,成都维修费报销（第77笔）
100078,2026-06-15,快递费,107.86,财务部,是,深圳通讯费报销（第78笔）
100079,2026-07-22,招待费,109.23,技术部,否,西安招待费报销（第79笔）
100080,2026-08-01,差旅费,110.60,技术部,否,深圳通讯费报销（第80笔）
100081,2026-09-08,维修费,111.97,销售部,是,上海快递费报销（第81笔）
100082,2026-10-15,招待费,113.34,市场部,否,杭州维修费报销（第82笔）
100083,2026-11-22,通讯费,114.71,销售部,否,杭州差旅费报销（第83笔）
100084,2026-12-01,通讯费,116.08,技术部,是,武汉差旅费报销（第84笔）
100085,2026-01-08,维修费,117.45,技术部,否,成都差旅费报销（第85笔）
100086,2026-02-15,维修费,118.82,行政部,否,北京招待费报销（第86笔）
100087,2026-03-22,维修费,120.19,技术部,是,武汉差旅费报销（第87笔）
100088,2026-04-01,通讯费,121.56,市场部,否,杭州培训费报销（第88笔）
100089,2026-05-08,维修费,122.93,行政部,否,杭州办公用品报销（第89笔）
100090,2026-06-15,差旅费,124.30,销售部,是,上海差旅费报销（第90笔）
100091,2026-07-22,通讯费,125.67,销售部,否,深圳维修费报销（第91笔）
100092,2026-08-01,维修费,127.04,财务部,否,武汉交通费报销（第92笔）
100093,2026-09-08,办公用品,128.41,财务部,是,武汉快递费报销（第93笔）
100094,2026-10-15,办公用品,129.78,销售部,否,成都通讯费报销（第94笔）
100095,2026-11-22,通讯费,131.15,市场部,否,上海维修费报销（第95笔）
100096,2026-12-01,交通费,132.52,销售部,是,上海交通费报销（第96笔）
100097,2026-01-08,办公用品,133.89,行政部,否,上海差旅费报销（第97笔）
100098,2026-02-15,通讯费,135.26,销售部,否,上海交通费报销（第98笔）
100099,2026-03-22,培训费,136.63,技术部,是,上海培训费报销（第99笔）
100100,2026-04-01,培训费,138.00,技术部,否,
100101,2026-05-08,交通费,139.37,财务部,否,深圳通讯费报销（第101笔）
100102,2026-06-15,交通费,140.74,销售部,是,北京快递费报销（第102笔）
100103,2026-07-22,招待费,142.11,技术部,否,深圳维修费报销（第103笔）
100104,2026-08-01,交通费,143.48,销售部,否,成都招待费报销（第104笔）
100105,2026-09-08,交通费,144.85,市场部,是,杭州差旅费报销（第105笔）
100106,2026-10-15,招待费,146.22,市场部,否,成都差旅费报销（第106笔）
